6.575	18	2.31	65.2	4.09	1	4.09	0.00632	0.538	15.3	396.9	4.98	24				
6.421	0	7.07	78.9	4.9671	2	4.9671	0.02731	0.469	17.8	396.9	9.14	21.6				
7.185	0	7.07	61.1	4.9671	2	4.9671	0.02729	0.469	17.8	392.83	4.03	34.7				
6.998	0	2.18	45.8	6.0622	3	6.0622	0.03237	0.458	18.7	394.63	2.94	33.4				
7.147	0	2.18	54.2	6.0622	3	6.0622	0.06905	0.458	18.7	396.9	5.33	36.2				
6.43	0	2.18	58.7	6.0622	3	6.0622	0.02985	0.458	18.7	394.12	5.21	28.7				
6.012	12.5	7.87	66.6	5.5605	5	5.5605	0.08829	0.524	15.2	395.6	12.43	22.9				
6.172	12.5	7.87	96.1	5.9505	5	5.9505	0.14455	0.524	15.2	396.9	19.15	27.1				
5.631	12.5	7.87	100	6.0821	5	6.0821	0.21124	0.524	15.2	386.63	29.93	16.5				
6.004	12.5	7.87	85.9	6.5921	5	6.5921	0.17004	0.524	15.2	386.71	17.1	18.9				
6.377	12.5	7.87	94.3	6.3467	5	6.3467	0.22489	0.524	15.2	392.52	20.45	15				
6.009	12.5	7.87	82.9	6.2267	5	6.2267	0.11747	0.524	15.2	396.9	13.27	18.9				
5.889	12.5	7.87	39	5.4509	5	5.4509	0.09378	0.524	15.2	390.5	15.71	21.7				
5.949	0	8.14	61.8	4.7075	4	4.7075	0.62976	0.538	21	396.9	8.26	20.4				
6.096	0	8.14	84.5	4.4619	4	4.4619	0.63796	0.538	21	380.02	10.26	18.2				
5.834	0	8.14	56.5	4.4986	4	4.4986	0.62739	0.538	21	395.62	8.47	19.9				
5.935	0	8.14	29.3	4.4986	4	4.4986	1.05393	0.538	21	386.85	6.58	23.1				
5.99	0	8.14	81.7	4.2579	4	4.2579	0.7842	0.538	21	386.75	14.67	17.5				
5.456	0	8.14	36.6	3.7965	4	3.7965	0.80271	0.538	21	288.99	11.69	20.2				
5.727	0	8.14	69.5	3.7965	4	3.7965	0.7258	0.538	21	390.95	11.28	18.2				
5.57	0	8.14	98.1	3.7979	4	3.7979	1.25179	0.538	21	376.57	21.02	13.6				
5.965	0	8.14	89.2	4.0123	4	4.0123	0.85204	0.538	21	392.53	13.83	19.6				
6.142	0	8.14	91.7	3.9769	4	3.9769	1.23247	0.538	21	396.9	18.72	15.2				
5.813	0	8.14	100	4.0952	4	4.0952	0.98843	0.538	21	394.54	19.88	14.5				
5.924	0	8.14	94.1	4.3996	4	4.3996	0.75026	0.538	21	394.33	16.3	15.6				
5.599	0	8.14	85.7	4.4546	4	4.4546	0.84054	0.538	21	303.42	16.51	13.9				
5.813	0	8.14	90.3	4.682	4	4.682	0.67191	0.538	21	376.88	14.81	16.6				
6.047	0	8.14	88.8	4.4534	4	4.4534	0.95577	0.538	21	306.38	17.28	14.8				
6.495	0	8.14	94.4	4.4547	4	4.4547	0.77299	0.538	21	387.94	12.8	18.4				
6.674	0	8.14	87.3	4.239	4	4.239	1.00245	0.538	21	380.23	11.98	21				
5.713	0	8.14	94.1	4.233	4	4.233	1.13081	0.538	21	360.17	22.6	12.7				
6.072	0	8.14	100	4.175	4	4.175	1.35472	0.538	21	376.73	13.04	14.5				
5.95	0	8.14	82	3.99	4	3.99	1.38799	0.538	21	232.6	27.71	13.2				
5.701	0	8.14	95	3.7872	4	3.7872	1.15172	0.538	21	358.77	18.35	13.1				
6.096	0	8.14	96.9	3.7598	4	3.7598	1.61282	0.538	21	248.31	20.34	13.5				
5.933	0	5.96	68.2	3.3603	5	3.3603	0.06417	0.499	19.2	396.9	9.68	18.9				
5.841	0	5.96	61.4	3.3779	5	3.3779	0.09744	0.499	19.2	377.56	11.41	20				
5.85	0	5.96	41.5	3.9342	5	3.9342	0.08014	0.499	19.2	396.9	8.77	21				
5.966	0	5.96	30.2	3.8473	5	3.8473	0.17505	0.499	19.2	393.43	10.13	24.7				
6.595	75	2.95	21.8	5.4011	3	5.4011	0.02763	0.428	18.3	395.63	4.32	30.8				
7.024	75	2.95	15.8	5.4011	3	5.4011	0.03359	0.428	18.3	395.62	1.98	34.9				
6.77	0	6.91	2.9	5.7209	3	5.7209	0.12744	0.448	17.9	385.41	4.84	26.6				
6.169	0	6.91	6.6	5.7209	3	5.7209	0.1415	0.448	17.9	383.37	5.81	25.3				
6.211	0	6.91	6.5	5.7209	3	5.7209	0.15936	0.448	17.9	394.46	7.44	24.7				
6.069	0	6.91	40	5.7209	3	5.7209	0.12269	0.448	17.9	389.39	9.55	21.2				
5.682	0	6.91	33.8	5.1004	3	5.1004	0.17142	0.448	17.9	396.9	10.21	19.3				
5.786	0	6.91	33.3	5.1004	3	5.1004	0.18836	0.448	17.9	396.9	14.15	20				
6.03	0	6.91	85.5	5.6894	3	5.6894	0.22927	0.448	17.9	392.74	18.8	16.6				
5.399	0	6.91	95.3	5.87	3	5.87	0.25387	0.448	17.9	396.9	30.81	14.4				
5.602	0	6.91	62	6.0877	3	6.0877	0.21977	0.448	17.9	396.9	16.2	19.4				
5.963	21	5.64	45.7	6.8147	4	6.8147	0.08873	0.439	16.8	395.56	13.45	19.7				
6.115	21	5.64	63	6.8147	4	6.8147	0.04337	0.439	16.8	393.97	9.43	20.5				
6.511	21	5.64	21.1	6.8147	4	6.8147	0.0536	0.439	16.8	396.9	5.28	25				
5.998	21	5.64	21.4	6.8147	4	6.8147	0.04981	0.439	16.8	396.9	8.43	23.4				
5.888	75	4	47.6	7.3197	3	7.3197	0.0136	0.41	21.1	396.9	14.8	18.9				
7.249	90	1.22	21.9	8.6966	5	8.6966	0.01311	0.403	17.9	395.93	4.81	35.4				
6.383	85	0.74	35.7	9.1876	2	9.1876	0.02055	0.41	17.3	396.9	5.77	24.7				
6.816	100	1.32	40.5	8.3248	5	8.3248	0.01432	0.411	15.1	392.9	3.95	31.6				
6.145	25	5.13	29.2	7.8148	8	7.8148	0.15445	0.453	19.7	390.68	6.86	23.3				
5.927	25	5.13	47.2	6.932	8	6.932	0.10328	0.453	19.7	396.9	9.22	19.6				
5.741	25	5.13	66.2	7.2254	8	7.2254	0.14932	0.453	19.7	395.11	13.15	18.7				
5.966	25	5.13	93.4	6.8185	8	6.8185	0.17171	0.453	19.7	378.08	14.44	16				
6.456	25	5.13	67.8	7.2255	8	7.2255	0.11027	0.453	19.7	396.9	6.73	22.2				
6.762	25	5.13	43.4	7.9809	8	7.9809	0.1265	0.453	19.7	395.58	9.5	25				
7.104	17.5	1.38	59.5	9.2229	3	9.2229	0.01951	0.4161	18.6	393.24	8.05	33				
